1,1,1,1,1,,,,1,,0
1,1,1,1,1,,,,1,,0
1,1,1,1,1,,,,1,,0
1,1,1,1,1,,,,1,,0
2,1,2,2,1,,,,1.6,,0.489897949
2,2,2,2,2,,,,2,,0
2,2,3,2,2,,,,2.2,,0.4
2,2,3,2,3,,,,2.4,,0.489897949
3,3,3,3,3,,,,3,,0
4,3,4,4,3,,,,3.6,,0.489897949
5,3,4,4,3,,,,3.8,,0.748331477
5,4,4,4,4,,,,4.2,,0.4
5,5,5,4,4,,,,4.6,,0.489897949
5,5,5,5,4,,,,4.8,,0.4
5,5,5,5,5,,,,5,,0
6,6,6,5,5,,,,5.6,,0.489897949
6,6,6,5,5,,,,5.6,,0.489897949
6,6,6,5,5,,,,5.6,,0.489897949
6,6,6,5,5,,,,5.6,,0.489897949
6,6,6,5,5,,,,5.6,,0.489897949
6,6,6,5,5,,,,5.6,,0.489897949
6,6,6,5,5,,,,5.6,,0.489897949
6,5,5,5,5,,,,5.2,,0.4
5,4,4,5,5,,,,4.6,,0.489897949
4,3,3,4,4,,,,3.6,,0.489897949
3,3,3,3,3,,,,3,,0
2,3,3,2,2,,,,2.4,,0.489897949
1,2,2,2,2,,,,1.8,,0.4
1,1,1,2,1,,,,1.2,,0.4
