262,238.8,289.5,254.8,226.9,,,,254.4,,21.39878501
204.3,197.5,207.4,192.6,190,,,,198.36,,6.645479667
209.8,201.3,208.6,206.9,191.5,,,,203.62,,6.723510988
194.3,191.4,225.8,221.8,189.6,,,,204.58,,15.81523316
205,197.7,196.4,193.6,190.9,,,,196.72,,4.758739329
215.2,203.4,205.8,204.4,198,,,,205.36,,5.584836614
192,191.8,194.1,190.8,187.5,,,,191.24,,2.156478611
195.4,196.3,193.8,192,194.2,,,,194.34,,1.466424222
197.5,194.8,198.4,190.7,190.3,,,,194.34,,3.354161594
196.9,193.1,189.5,191,191.8,,,,192.46,,2.508066985
201,187.4,187.9,198.4,186,,,,192.14,,6.25830648
189.8,192.7,193.5,197.2,191.4,,,,192.92,,2.479838704
192.1,189.7,194.1,191.2,192.8,,,,191.98,,1.482430437
193,192.4,189.6,190.3,191.5,,,,191.36,,1.265859392
190.2,194.7,189.9,190.5,191.9,,,,191.44,,1.768162888
193.8,190.7,188.5,188.1,191.8,,,,190.58,,2.114142852
192,192.1,191.7,189.8,194.9,,,,192.1,,1.630950643
194.6,196,187.1,190.7,194.7,,,,192.62,,3.281097377
193.3,193.7,188.3,191.9,193,,,,192.04,,1.963262591
193,192.5,189.5,193.6,190.5,,,,191.82,,1.558717421
192.1,191.2,188.2,189.4,189.7,,,,190.12,,1.376081393
197.8,199.9,190.3,193.5,192.9,,,,194.88,,3.479310276
194.4,187.9,189.4,192.7,192.4,,,,191.36,,2.363556642
189.2,188.7,190.5,189.2,192.9,,,,190.1,,1.52184099
192.7,191.8,187.5,193.4,190.8,,,,191.24,,2.063589106
189.9,190.6,190.1,192.4,193.5,,,,191.3,,1.409964539
193.3,192.1,191,192.1,189.9,,,,191.68,,1.149608629
189.1,189.6,189.2,192.9,191.6,,,,190.48,,1.511820095
191.9,189.8,196.2,188.7,191.9,,,,191.7,,2.566709956
191.8,191.2,188.8,194.2,189.8,,,,191.16,,1.847809514
201,187.2,190.2,193.2,190.2,,,,192.36,,4.71830478
204.6,191,191.2,189.1,191.1,,,,193.4,,5.653671374
199.2,191.6,190.8,191.3,193.8,,,,193.34,,3.104577266
192.9,194.8,192.5,190.8,191.8,,,,192.56,,1.327554142
194,194.7,193.1,192.2,191.6,,,,193.12,,1.133843023
195.7,191.4,187.2,189.8,191.8,,,,191.18,,2.778776709
197.8,191,186.7,190.2,190.1,,,,191.16,,3.634611396
195.2,191.3,191.5,189.1,190.8,,,,191.58,,1.997398308
194.9,192.7,193,192,193.5,,,,193.22,,0.970360758
